id_centro,id_area_OLD,id_cluster_NEW
101258,10324,0
102191,10532,0
102839,10354,1
103314,10374,1
103367,10440,1
100022,10204,1
100044,10495,1
100242,10348,1
100339,10522,1
102109,10355,1
100452,10354,1
102348,10219,1
100994,10219,1
101000,10228,1
101011,10224,1
101017,10541,1
101259,10324,1
101312,10543,2
101360,10002,2
101496,10314,2
101761,10314,2
101774,10432,2
101775,10228,2
101776,10541,2
101913,10354,2
101940,10354,2
101944,10326,2
101945,10535,2
101947,10541,2
101948,10382,2
101949,10354,2
101958,10541,2
101966,10495,2
101967,10345,2
101969,10224,2
101972,10541,2
101986,10224,2
101990,10219,2
102000,10541,2
102002,10354,2
102005,10221,2
102011,10354,2
102012,10354,2
102019,10363,2
102020,10224,2
102021,10310,2
102022,10324,2
102025,10505,2
102026,10219,2
102027,10324,3
102030,10363,3
102031,10542,3
102032,10316,3
102036,10219,3
102044,10219,3
102045,10219,3
102047,10224,3
102051,10354,3
102056,10440,3
102057,10304,3
102074,10541,3
102075,10218,3
102078,10475,3
102079,10314,3
102080,10355,3
102081,10535,3
102092,10221,3
102093,10440,3
102097,10227,3
102098,10227,3
102107,10218,3
102111,10368,4
102119,10310,4
102128,10363,4
102130,10484,4
102134,10348,4
102138,10542,4
102143,10219,4
102144,10326,4
102145,10316,4
102150,10484,4
102151,10219,4
102156,10224,5
102157,10440,5
102167,10314,5
102169,10314,5
102170,10314,6
102171,10354,6
102172,10368,6
102174,10478,6
102175,10478,6
102180,10541,6
102187,10222,6
102189,10495,6
102190,10484,7
102193,10327,8
102195,10374,8
102196,10359,8
102197,10469,9
102199,10304,9
102200,10508,9
102203,10324,9
102204,10324,9
102205,10228,9
102206,10326,9
102211,10508,9
102212,10396,9
102215,10327,9
102217,10354,9
102218,10354,9
102221,10354,9
102222,10338,9
102225,10322,9
102227,10478,9
102229,10354,9
102231,10218,9
102243,10314,9
102245,10218,9
102247,10541,9
102354,10228,9
102248,10478,9
102249,10396,9
102250,10218,9
102251,10218,9
102252,10218,9
102253,10218,9
102254,10327,9
102257,10541,9
102264,10314,9
102266,10354,9
102269,10354,9
102272,10432,9
102284,10541,9
102288,10520,9
102289,10508,9
102292,10221,9
102294,10354,9
102296,10306,9
102297,10306,9
102298,10224,10
102299,10322,10
102300,10322,10
102308,10453,10
102309,10304,10
102321,10227,10
102322,10228,10
102325,10219,10
102326,10219,10
102327,10219,10
102329,10327,10
102330,10327,10
102331,10541,10
102334,10219,11
102336,10218,11
102338,10219,11
102340,10228,11
102343,10327,11
102350,10541,11
102352,10228,11
102353,10316,11
102355,10219,12
102357,10508,12
102358,10345,12
102361,10324,12
102362,10354,12
102363,10453,12
102365,10324,12
102366,10536,12
102372,10324,12
102375,10366,12
102377,10353,12
102380,10324,12
